time,generation biomass,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,total load forecast,total load actual,price day ahead,price actual
2015-01-01 09:00:00,419.0,4137.0,3437.0,163.0,1041.0,1357.0,7097.0,43.0,74.0,743.0,198.0,3073.0,21560.0,20637.0,36.6,54.2
2015-01-01 10:00:00,422.0,4059.0,3516.0,167.0,1041.0,1817.0,7096.0,43.0,72.0,2019.0,204.0,2683.0,22824.0,22250.0,43.1,58.94
2015-01-01 11:00:00,421.0,3931.0,3845.0,166.0,1069.0,1516.0,7097.0,42.0,73.0,3197.0,206.0,2771.0,23720.0,23547.0,45.14,59.86
2015-01-01 12:00:00,428.0,3784.0,4220.0,167.0,1052.0,1204.0,7097.0,41.0,75.0,3885.0,209.0,2906.0,24180.0,24133.0,45.14,60.12
2015-01-01 13:00:00,425.0,3754.0,4404.0,167.0,1041.0,1286.0,7099.0,40.0,74.0,4007.0,210.0,2923.0,24797.0,24713.0,47.35,62.05
2015-01-01 14:00:00,423.0,3779.0,4256.0,166.0,1028.0,1027.0,7097.0,40.0,76.0,3973.0,210.0,2945.0,25222.0,24672.0,47.35,62.06
2015-01-01 16:00:00,422.0,3813.0,4191.0,163.0,1032.0,1156.0,7095.0,41.0,75.0,3088.0,211.0,2552.0,23659.0,23118.0,44.91,61.18
2015-01-01 17:00:00,426.0,3967.0,4707.0,165.0,1036.0,1626.0,7095.0,41.0,75.0,1467.0,208.0,2699.0,23982.0,23606.0,48.1,64.74
2015-01-01 18:00:00,427.0,4756.0,4756.0,164.0,1094.0,3203.0,7096.0,42.0,74.0,404.0,209.0,2764.0,26981.0,26447.0,58.02,74.26
2015-01-02 00:00:00,368.0,3189.0,1291.0,193.0,1268.0,3871.0,7106.0,45.0,62.0,54.0,169.0,13232.0,27309.0,27070.0,10.0,64.02
2015-01-02 01:00:00,368.0,2902.0,1190.0,192.0,1263.0,2996.0,7106.0,45.0,61.0,54.0,167.0,12760.0,25397.0,24935.0,7.0,58.46
2015-01-02 02:00:00,358.0,2772.0,1023.0,189.0,1246.0,2581.0,7107.0,44.0,60.0,54.0,167.0,12174.0,23640.0,23214.0,5.0,54.7
2015-01-02 03:00:00,353.0,2936.0,1016.0,188.0,1248.0,2933.0,7107.0,44.0,59.0,53.0,181.0,11358.0,22638.0,22540.0,4.0,54.91
2015-01-02 04:00:00,354.0,2893.0,1103.0,189.0,1233.0,2646.0,7106.0,44.0,61.0,53.0,181.0,11199.0,22238.0,22096.0,4.0,53.07
2015-01-02 05:00:00,354.0,2889.0,1120.0,190.0,1225.0,2529.0,7105.0,44.0,59.0,63.0,171.0,11152.0,22299.0,22066.0,4.8,54.23
2015-01-02 06:00:00,357.0,2898.0,1167.0,189.0,1241.0,2658.0,7105.0,44.0,60.0,55.0,185.0,11169.0,22660.0,22275.0,5.0,58.22
2015-01-02 07:00:00,357.0,2938.0,1067.0,194.0,1247.0,2706.0,7105.0,44.0,60.0,54.0,186.0,11205.0,23449.0,23025.0,7.04,67.55
2015-01-02 08:00:00,359.0,2869.0,1098.0,196.0,1274.0,3090.0,7105.0,44.0,59.0,116.0,183.0,10920.0,24067.0,23699.0,7.04,70.33
